eval_video/1,eval_video/6,_step,evaluation/avg_episode_len,eval_video/8,eval_video/2,eval_video/7,eval_video/4,reward_value_images,eval_video/9,eval_video/3,eval_video/0,eval_video/5,evaluation/Reward >= 1,num_online_trajs,_runtime,num_online_samples,evaluation/Reward >= 0,env_steps,evaluation/avg_return,evaluation/success_rate,_timestamp,training/std_pi_max,training/next_actions_std,training/actor_loss,replay_buffer_size,training/mean_pi_avg,training/next_log_probs,training/adapter_l2,training/entropy,training/mean_pi_min,training/std_pi_avg,training/mean_pi_norm,training/adapter_gate_l1,training/critic_loss,training/next_q_pi,episode_return (exploration),training/target_q,training/mean_pi_max,training/next_actions_sampled,training/temperature_loss,training/q_pi_in_actor,training/std_pi_norm,training/adapter_feature_norm,training/next_actions_min,training/next_actions_max,training/temperature,training/q,training/target_actor_entropy,is_success (exploration),training/next_actions_mean,training/std_pi_min,training/adapter_gate_mean
"{'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/1_0_ba4bb4d98c68298cbe17.gif', 'sha256': 'ba4bb4d98c68298cbe1730d5deda26a1ddd9e34da4e11b1c2faf5f120b6fad1f', 'size': 920480}","{'path': 'media/videos/eval_video/6_0_397a31290fb242b6cf49.gif', 'sha256': '397a31290fb242b6cf49e76ebae8eea3640a12a607161a234924115120750120', 'size': 1109934, 'width': 64, '_type': 'video-file', 'height': 64}",0,305.6,"{'sha256': '59f6bd3a0afe13b6066f7b674ace342bc2ca87402a967b11a28a11073b8bca83', 'size': 1018774, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/8_0_59f6bd3a0afe13b6066f.gif'}","{'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/2_0_00516518f74f9cc7736d.gif', 'sha256': '00516518f74f9cc7736d3b45ad8a886c227e5f81fcc19ff3d2b177daf44928fe', 'size': 1068443}","{'_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/7_0_21b59d50f9acafcdc853.gif', 'sha256': '21b59d50f9acafcdc853055c64e08f7c9ec1568d2f01b384a5594d511919ba82', 'size': 970505, 'width': 64}","{'height': 64, 'path': 'media/videos/eval_video/4_0_b0c8992e0da99e8f739d.gif', 'sha256': 'b0c8992e0da99e8f739d6b7919c19cbde276f998a3f5f018182412d0cf2c4f44', 'size': 1147755, 'width': 64, '_type': 'video-file'}","{'format': 'png', 'height': 3600, 'path': 'media/images/reward_value_images_0_c2d78473e1f866926179.png', 'sha256': 'c2d78473e1f866926179d3c194bc28058c0a8ad0b96a44545393f7161c06caf7', 'size': 644191, 'width': 800, '_type': 'image-file'}","{'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/9_0_322ce9bd64e74769a036.gif', 'sha256': '322ce9bd64e74769a036c1811251d1635be47fc2eb179f641008c6d0daca41c7', 'size': 828765}","{'height': 64, 'path': 'media/videos/eval_video/3_0_113d8ffc94da418136c2.gif', 'sha256': '113d8ffc94da418136c23b8ad0ab4b26a576c5e2e0cdcaf64ab4b5b59d2dcef5', 'size': 1253365, 'width': 64, '_type': 'video-file'}","{'sha256': '4acb46db079cb545bda50bcd9a44d0e80919c63051060170abfc7bc515e4c672', 'size': 608887, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/0_0_4acb46db079cb545bda5.gif'}","{'size': 443650, 'width': 64, '_type': 'video-file', 'height': 64, 'path': 'media/videos/eval_video/5_0_926af9f4d0f192392539.gif', 'sha256': '926af9f4d0f192392539e611715df314c27b52fe1fc05987de85af3ac52826aa'}",0.8,0.0,570.470667612,0.0,1.0,0.0,0.8,0.8,1780363114.7777236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,,,,,,,,,,,,,577.070178948,,,,,,1780363209.3405535,0.8983162641525269,0.363716185092926,-33.29069137573242,533.0,0.0015316775534301996,-33.52803039550781,0.1266506314277649,33.52571105957031,-0.023328691720962524,0.877941370010376,0.07537221908569336,0.4935876727104187,0.0043243044055998325,3.654573440551758,1.0,2.615563154220581,0.034865304827690125,-0.0022601503878831863,50.1887092590332,4.293051719665527,6.145825386047363,11.344475746154785,-0.9980751276016235,0.9979692101478577,0.8649391531944275,2.616528272628784,33.52803039550781,1.0,-0.0022601503878831863,0.8569886088371277,0.4935876727104187
,,1000,,,,,,,,,,,,,614.534069763,,,,,,1780363215.9395487,0.8889932632446289,0.46843573451042175,-30.70448875427246,533.0,-0.00034801839501596987,-33.60480499267578,0.2167571485042572,33.450828552246094,-0.01561884768307209,0.8749575614929199,0.06594385206699371,0.4967261552810669,0.0004679480043705553,5.148131370544434,1.0,4.106290817260742,0.022067412734031677,-0.01854984648525715,43.7177734375,5.469444274902344,6.124833583831787,14.864462852478027,-0.9960071444511414,0.9977008104324341,0.7543942928314209,4.109149932861328,33.60480499267578,1.0,-0.01854984648525715,0.8622027635574341,0.4967261552810669
,,1500,,,,,,,,,,,,,621.237474489,,,,,,1780363253.4049635,0.8891952633857727,0.4819861650466919,-24.743040084838867,613.0,0.000751744955778122,-33.556278228759766,0.229891836643219,33.446632385253906,-0.016312425956130028,0.8749482035636902,0.05483383312821388,0.507970929145813,4.4224430894246325e-05,3.1858770847320557,0.0,2.161496639251709,0.017097115516662598,-0.015796178951859474,38.37462615966797,2.5933845043182373,6.124757766723633,15.317115783691406,-0.9987214803695679,0.9982057213783264,0.6622408628463745,2.1613433361053467,33.556278228759766,0.0,-0.015796178951859474,0.8600772023200989,0.507970929145813
,,2000,,,,,,,,,,,,,627.964398688,,,,,,1780363260.1068351,0.8880209922790527,0.5584561228752136,-23.73107147216797,613.0,0.0005665429634973407,-33.565101623535156,0.31386905908584595,33.54811477661133,-0.01488658506423235,0.8752609491348267,0.04559106379747391,0.49620670080184937,0.00024915949325077236,4.018058776855469,0.0,2.962954521179199,0.014194040559232235,0.012414793483912945,33.909767150878906,4.1334638595581055,6.126930236816406,17.906349182128906,-0.9983659982681274,0.9966519474983215,0.5841665863990784,2.961470365524292,33.565101623535156,0.0,0.012414793483912945,0.8630161881446838,0.49620670080184937
,,2500,,,,,,,,,,,,,650.884708201,,,,,,1780363266.830153,0.890178918838501,0.6236075758934021,-21.947002410888672,613.0,0.0010495171882212162,-33.48539352416992,0.39563238620758057,33.51100158691406,-0.01589656062424183,0.8757140040397644,0.04746175557374954,0.5073853731155396,0.0002812110469676554,4.508561611175537,0.0,3.4860634803771973,0.016147401183843613,0.022667672485113144,30.00171661376953,4.616110801696777,6.1301069259643555,20.114437103271484,-0.9973131418228149,0.9981620907783508,0.5171728730201721,3.4821114540100098,33.48539352416992,0.0,0.022667672485113144,0.8648032546043396,0.5073853731155396
,,3000,,,,,,,,,,,,,657.593473983,,,,,,1780363289.755503,0.8869620561599731,0.6481600403785706,-16.95937728881836,656.0,-0.0008435145136900246,-33.49121856689453,0.42625099420547485,33.50910186767578,-0.015155144967138767,0.8742650747299194,0.04112299904227257,0.4889107346534729,8.468815212836489e-05,2.4703309535980225,1.0,1.4523084163665771,0.008394386619329453,0.018144650384783745,26.63245964050293,1.5751638412475586,6.119959831237793,20.87813949584961,-0.9970134496688843,0.9953896403312683,0.45910829305648804,1.4532148838043213,33.49121856689453,1.0,0.018144650384783745,0.8619402050971985,0.4889107346534729
,,3500,,,,,,,,,,,,,685.138130696,,,,,,1780363296.4628763,0.8865489959716797,0.7073119282722473,-14.78829574584961,656.0,0.0007597220246680081,-33.51323699951172,0.5005483627319336,33.497650146484375,-0.016089726239442825,0.8737111687660217,0.04276648908853531,0.49140459299087524,0.00010215422662440687,1.3461984395980835,1.0,0.335525244474411,0.01685180887579918,0.0018091107485815883,23.685279846191406,1.10850989818573,6.116087913513184,22.62434959411621,-0.9971633553504944,0.9985635280609131,0.40838342905044556,0.3378705382347107,33.51323699951172,1.0,0.0018091107485815883,0.8627269864082336,0.49140459299087524
,,4000,,,,,,,,,,,,,691.844855785,,,,,,1780363324.0077124,0.8861715793609619,0.7082632184028625,-10.281265258789062,711.0,0.0003839141863863915,-33.59265899658203,0.5040489435195923,33.43928909301758,-0.013811386190354824,0.8759891390800476,0.03496674448251724,0.49600091576576233,0.0012719221413135529,-1.048749566078186,1.0,-2.043516159057617,0.01379809807986021,0.01036060880869627,21.0783748626709,-1.883882761001587,6.132007598876953,22.70734405517578,-0.9979332685470581,0.9977989792823792,0.3638010621070862,-2.0340535640716553,33.59265899658203,1.0,0.01036060880869627,0.862724244594574,0.49600091576576233
,,4500,,,,,,,,,,,,,727.5453105080001,,,,,,1780363330.7159104,0.8813523054122925,0.7944930791854858,-12.111675262451172,711.0,-0.0006558008608408272,-33.4897346496582,0.6405799388885498,33.463653564453125,-0.03263290971517563,0.8703519701957703,0.07730080187320709,0.48783689737319946,0.0019462325144559145,0.5330972075462341,1.0,-0.46669960021972656,0.031746864318847656,0.026813948526978493,18.805522918701172,1.254960060119629,6.092555046081543,25.60498046875,-0.998718798160553,0.9990729093551636,0.3244364559650421,-0.4641488492488861,33.4897346496582,1.0,0.026813948526978493,0.8585567474365234,0.48783689737319946
